country,winning chance,BETFAIR SPORT,WILLIAM HILL,SKY BET,SMARKETS,BETWAY,BETFAIR EXCHANGE,scrapped_day
Ukraine,22%,3,3,3,2.9,,3,2022-11-14 21:41:02.245607
Italy,8%,8,8,7.5,12,,12,2022-11-14 21:41:02.245607
UKUnited Kingdom,7%,8,7,7,14,10,14,2022-11-14 21:41:02.245607
Sweden,6%,11,8,10,14,,14,2022-11-14 21:41:02.245607
Spain,4%,17,17,15,19,,19,2022-11-14 21:41:02.245607
Norway,4%,17,19,15,19,,19,2022-11-14 21:41:02.245607
Poland,4%,21,19,17,12,,4,2022-11-14 21:41:02.245607
Greece,4%,21,19,17,12,,6.2,2022-11-14 21:41:02.245607
France,4%,17,19,17,19,,19,2022-11-14 21:41:02.245607
Australia,3%,21,21,21,12,,4,2022-11-14 21:41:02.245607
Switzerland,3%,21,21,21,15,,4,2022-11-14 21:41:02.245607
Armenia,3%,17,17,41,21,,21,2022-11-14 21:41:02.245607
Belgium,2%,26,34,34,14,,4,2022-11-14 21:41:02.245607
Serbia,2%,26,34,34,14,,4,2022-11-14 21:41:02.245607
Azerbaijan,2%,34,34,51,15,,4,2022-11-14 21:41:02.245607
Netherlands artists: Mia Nicolai & Dion Cooper,2%,41,41,41,14,,12,2022-11-14 21:41:02.245607
Finland,2%,41,41,41,14,,,2022-11-14 21:41:02.245607
Ireland,2%,51,51,51,15,41,10,2022-11-14 21:41:02.245607
Israel artist: Noa Kirel,1%,51,41,51,26,,26,2022-11-14 21:41:02.245607
Iceland,1%,51,51,51,15,,6.2,2022-11-14 21:41:02.245607
Germany,1%,51,51,51,15,,,2022-11-14 21:41:02.245607
Portugal,1%,67,67,51,15,,2.02,2022-11-14 21:41:02.245607
San Marino,1%,67,67,51,15,,,2022-11-14 21:41:02.245607
Lithuania,1%,67,67,67,15,,,2022-11-14 21:41:02.245607
Cyprus artist: Andrew Lambrou,1%,67,67,81,16,,4.2,2022-11-14 21:41:02.245607
Estonia,1%,67,67,81,16,,,2022-11-14 21:41:02.245607
Slovenia,1%,101,101,81,16,,2.02,2022-11-14 21:41:02.245607
Latvia,1%,101,101,81,16,,,2022-11-14 21:41:02.245607
Austria,1%,101,101,101,16,,4.2,2022-11-14 21:41:02.245607
Croatia,1%,101,101,101,16,,4.2,2022-11-14 21:41:02.245607
Czech Rep.Czech Republic,1%,101,101,101,16,,4.2,2022-11-14 21:41:02.245607
Denmark,1%,101,101,101,16,,4.2,2022-11-14 21:41:02.245607
Moldova,1%,67,201,101,16,,,2022-11-14 21:41:02.245607
Romania,1%,101,201,151,16,,5.1,2022-11-14 21:41:02.245607
Malta,<1%,201,201,101,16,,4.2,2022-11-14 21:41:02.245607
Georgia,<1%,201,201,151,16,,2.02,2022-11-14 21:41:02.245607
Albania,<1%,201,201,201,16,,4,2022-11-14 21:41:02.245607
verified (CET),verified (CET),23:08,22:48,23:08,22:48,23:08,22:48,2022-11-14 21:41:02.245607
changed (CET),changed (CET),22 Oct,22:48,12:08,15:48,21 Oct,22:48,2022-11-14 21:41:02.245607
