country,years,songs,artists,places,points,qualification
Andorra,2009,La Teva DecisiÃ³ (Get A Life),Susanne Georgi,Didn't qualify,,#15 in semi-final 1
Andorra,2008,Casanova,Gisela,Didn't qualify,,#16 in semi-final 1
Andorra,2007,Salvem El MÃ³n,Anonymous,Didn't qualify,,#12 in semi-final
Andorra,2006,Sense Tu,Jennifer,Didn't qualify,,#23 in semi-final
Andorra,2005,La Mirada Interior,Marian van de Wal,Didn't qualify,,#23 in semi-final
Andorra,2004,Jugarem A Estimar-nos,Marta Roure,Didn't qualify,,#18 in semi-final
Austria,2023,â€“,,â€“,â€“,semi-final
Austria,2022,Halo,LUM!X & Pia Maria,Didn't qualify,,#15 in semi-final 1
Austria,2021,Amen,Vincent Bueno,Didn't qualify,,#12 in semi-final 2
Austria,2020,Alive,Vincent Bueno,,,cancelled
Austria,2019,Limits,PÃ¦nda,Didn't qualify,,#17 in semi-final 2
Austria,2018,Nobody But You,CesÃ¡r Sampson,3,342,#4 in semi-final 1
Austria,2017,Running On Air,Nathan Trent,16,93,#7 in semi-final 2
Austria,2016,Loin d'ici,ZoÃ«,13,151,#7 in semi-final 1
Austria,2015,I Am Yours,The Makemakes,26,0,winner 2014
Austria,2014,Rise Like a Phoenix,Conchita Wurst,#1,290,#1 in semi-final 2
Austria,2013,Shine,NatÃ¡lia Kelly,Didn't qualify,,#14 in semi-final 1
Austria,2012,Woki Mit Deim Popo,Trackshittaz,Didn't qualify,,#18 in semi-final 1
Austria,2011,The Secret Is Love,Nadine Beiler,18,64,#7 in semi-final 2
Austria,2007,Get A Life - Get Alive,Eric Papilaya,Didn't qualify,,#27 in semi-final
Austria,2005,Y AsÃ­,Global.Kryner,Didn't qualify,,#21 in semi-final
Austria,2004,Du Bist,Tie Break,21,9,Top-10 2003
Austria,2003,Weil Der Mensch ZÃ¤hlt,Alf Poier,6,101,
Austria,2002,Say A Word,Manuel Ortega,18,26,
Austria,2000,All To You,The rounder girls,14,34,
Austria,1999,Reflection,Bobbie Singer,10,65,
Austria,1997,One Step,Bettina Soriat,21,12,
Austria,1996,Weil's Dr Guat Got,George NuÃŸbaumer,10,68,#6 in qualification
Austria,1995,Die Welt Dreht Sich Verkehrt,Stella Jones,13,67,
Austria,1994,FÃ¼r Den Frieden Der Welt,Petra Frey,17,19,
Austria,1993,Maria Magdalena,Tony Wegas,14,32,
Austria,1992,Zusammen Geh'n,Tony Wegas,10,63,
Austria,1991,Venedig Im Regen,Thomas Forstner,22,0,
Austria,1990,Keine Mauern Mehr,Simone,10,58,
Austria,1989,Nur Ein Lied,Thomas Forstner,5,97,
Austria,1988,Lisa Mona Lisa,Wilfried,21,0,
Austria,1987,Nur Noch GefÃ¼hl,Gary Lux,20,8,
Austria,1986,Die Zeit Ist Einsam,Timna Brauer,18,12,
Austria,1985,Kinder Dieser Welt,Gary Lux,8,60,
Austria,1984,Einfach Weg,Anita,19,5,
Austria,1983,Hurricane,Westend,9,53,
Austria,1982,Sonntag,Mess,9,57,
Austria,1981,Wenn Du Da Bist,Marty Brem,17,20,
Austria,1980,Du Bist Musik,Blue Danube,8,64,
Austria,1979,Heute In Jerusalem,Christina Simon,18,5,
Austria,1978,Mrs. Caroline Robinson,Springtime,15,14,
Austria,1977,Boom Boom Boomerang,Schmetterlinge,17,11,
Austria,1976,My Little World,Waterloo & Robinson,5,80,
Austria,1972,Falter Im Wind,The Milestones,5,100,
Austria,1971,Musik,Marianne Mendt,16,66,
Austria,1968,Tausend Fenster,Karel Gott,13,2,
Austria,1967,Warum Es Hunderttausend Sterne Gibt,Peter Horten,14,2,
Austria,1966,Merci ChÃ©rie,Udo JÃ¼rgens,#1,31,
Austria,1965,"Sag Ihr, Ich Lass' Sie GrÃ¼ÃŸen",Udo JÃ¼rgens,4,16,
Austria,1964,"Warum Nur, Warum?",Udo JÃ¼rgens,6,11,
Austria,1963,Vielleicht Geschieht Ein Wunder,Carmela Corren,7,16,
Austria,1962,Nur In Der Wiener Luft,Eleonore Schwarz,13,0,
Austria,1961,Sehnsucht,Jimmy Makulis,15,1,
Austria,1960,Du Hast Mich So Fasziniert,Harry Winter,7,6,
Austria,1959,Der K. Und K. Kalypso Aus Wien,Ferry Graf,9,4,
Austria,1958,Die Ganze Welt Braucht Liebe,Liane Augustin,5,8,
Austria,1957,"Wohin, Kleines Pony",Bob Martin,10,3,
